	Xm	Ym	Species	Light	Where	Photo	Lab.acclimation
1	30.335	0.547	E. cyaneus	Y	R	P6163060	short
2	17.163	0.775	E. cyaneus	Y	R	P6163060	short
3	3.517	1.069	E. cyaneus	Y	R	P6163060	short
4	6.308	1.134	E. cyaneus	Y	R	P6163060	short
5	23.806	1.755	E. cyaneus	Y	R	P6163060	short
6	33.909	2.799	E. cyaneus	Y	R	P6163060	short
7	5.558	3.011	E. cyaneus	Y	R	P6163060	short
8	32.326	3.648	E. cyaneus	Y	R	P6163060	short
9	38.757	4.578	E. cyaneus	Y	R	P6163060	short
10	4.578	4.774	E. cyaneus	Y	R	P6163060	short
11	3.713	5.443	E. cyaneus	Y	R	P6163060	short
12	4.17	5.884	E. cyaneus	Y	R	P6163060	short
13	10.65	6.015	E. cyaneus	Y	R	P6163060	short
14	13.915	6.341	E. cyaneus	Y	R	P6163060	short
15	6.537	6.39	E. cyaneus	Y	R	P6163060	short
16	7.826	6.896	E. cyaneus	Y	R	P6163060	short
17	14.91	7.353	E. cyaneus	Y	R	P6163060	short
18	17.244	7.549	E. cyaneus	Y	R	P6163060	short
19	13.67	7.859	E. cyaneus	Y	R	P6163060	short
20	7.696	7.99	E. cyaneus	Y	R	P6163060	short
1	16.085	0.726	E. cyaneus	B	R	P6163061	short
2	35.166	0.792	E. cyaneus	B	R	P6163061	short
3	5.656	1.689	E. cyaneus	B	R	P6163061	short
4	0.661	1.983	E. cyaneus	B	R	P6163061	short
5	4.317	2.554	E. cyaneus	B	R	P6163061	short
6	4.578	3.599	E. cyaneus	B	R	P6163061	short
7	57.184	3.795	E. cyaneus	B	R	P6163061	short
8	5.803	4.023	E. cyaneus	B	R	P6163061	short
9	57.56	4.138	E. cyaneus	B	R	P6163061	short
10	12.152	5.052	E. cyaneus	B	R	P6163061	short
11	6.439	5.15	E. cyaneus	B	R	P6163061	short
12	51.945	5.362	E. cyaneus	B	R	P6163061	short
13	9.948	5.884	E. cyaneus	B	R	P6163061	short
14	2.75	6.243	E. cyaneus	B	R	P6163061	short
15	3.779	6.912	E. cyaneus	B	R	P6163061	short
16	6.831	7.451	E. cyaneus	B	R	P6163061	short
17	16.918	7.565	E. cyaneus	B	R	P6163061	short
18	4.236	7.761	E. cyaneus	B	R	P6163061	short
19	36.766	7.81	E. cyaneus	B	R	P6163061	short
20	6.096	8.088	E. cyaneus	B	R	P6163061	short
1	8.392	0.336	E. cyaneus	R	R	P6163063	short
2	47.35	0.418	E. cyaneus	R	R	P6163063	short
3	6.575	1.138	E. cyaneus	R	R	P6163063	short
5	4.43	2.203	E. cyaneus	R	R	P6163063	short
6	18.218	2.203	E. cyaneus	R	R	P6163063	short
7	22.197	2.972	E. cyaneus	R	R	P6163063	short
8	5.314	3.644	E. cyaneus	R	R	P6163063	short
9	30.172	4.118	E. cyaneus	R	R	P6163063	short
10	43.96	4.544	E. cyaneus	R	R	P6163063	short
11	6.264	5.674	E. cyaneus	R	R	P6163063	short
12	2.366	5.985	E. cyaneus	R	R	P6163063	short
13	21.902	6.182	E. cyaneus	R	R	P6163063	short
14	20.003	6.706	E. cyaneus	R	R	P6163063	short
15	51.116	7.082	E. cyaneus	R	R	P6163063	short
16	19.97	7.59	E. cyaneus	R	R	P6163063	short
17	51.133	7.999	E. cyaneus	R	R	P6163063	short
18	8.835	8.13	E. cyaneus	R	R	P6163063	short
19	19.904	8.245	E. cyaneus	R	R	P6163063	short
20	47.612	8.278	E. cyaneus	R	R	P6163063	short
21	36.984	8.36	E. cyaneus	R	R	P6163063	short
1	4.299	0.68	E. cyaneus	G	R	P6163064	short
2	5.183	0.712	E. cyaneus	G	R	P6163064	short
3	8.835	0.892	E. cyaneus	G	R	P6163064	short
4	9.375	0.909	E. cyaneus	G	R	P6163064	short
5	5.314	1.138	E. cyaneus	G	R	P6163064	short
6	3.07	2.104	E. cyaneus	G	R	P6163064	short
7	5.085	2.645	E. cyaneus	G	R	P6163064	short
8	56.684	3.201	E. cyaneus	G	R	P6163064	short
9	5.052	3.332	E. cyaneus	G	R	P6163064	short
10	2.939	5.216	E. cyaneus	G	R	P6163064	short
11	22.001	5.822	E. cyaneus	G	R	P6163064	short
12	6.82	6.133	E. cyaneus	G	R	P6163064	short
13	8.605	6.395	E. cyaneus	G	R	P6163064	short
14	3.382	6.624	E. cyaneus	G	R	P6163064	short
15	10.636	7.361	E. cyaneus	G	R	P6163064	short
16	15.827	7.656	E. cyaneus	G	R	P6163064	short
17	6.296	7.737	E. cyaneus	G	R	P6163064	short
18	51.853	7.77	E. cyaneus	G	R	P6163064	short
19	9.178	7.95	E. cyaneus	G	R	P6163064	short
20	23.867	8.081	E. cyaneus	G	R	P6163064	short
1	18.325	0.449	E. cyaneus	K	K	P6163065	short
2	17.034	0.956	E. cyaneus	K	K	P6163065	short
3	55.433	1.446	E. cyaneus	K	K	P6163065	short
4	13.766	1.56	E. cyaneus	K	K	P6163065	short
5	4.028	1.691	E. cyaneus	K	K	P6163065	short
6	29.371	1.92	E. cyaneus	K	K	P6163065	short
7	5.09	2.77	E. cyaneus	K	K	P6163065	short
8	56.577	3.276	E. cyaneus	K	K	P6163065	short
9	4.109	3.292	E. cyaneus	K	K	P6163065	short
10	6.479	3.864	E. cyaneus	K	K	P6163065	short
11	49.681	4.436	E. cyaneus	K	K	P6163065	short
12	54.502	4.567	E. cyaneus	K	K	P6163065	short
13	6.724	4.91	E. cyaneus	K	K	P6163065	short
14	56.07	4.926	E. cyaneus	K	K	P6163065	short
15	31.462	4.943	E. cyaneus	K	K	P6163065	short
16	49.698	5.204	E. cyaneus	K	K	P6163065	short
17	48.423	5.596	E. cyaneus	K	K	P6163065	short
18	35.449	6.871	E. cyaneus	K	K	P6163065	short
19	30.466	7.41	E. cyaneus	K	K	P6163065	short
20	18.292	7.966	E. cyaneus	K	K	P6163065	short
1	55.863	0.824	E. cyaneus	G	L	P6163066	short
2	2.994	0.906	E. cyaneus	G	L	P6163066	short
3	40.525	1.575	E. cyaneus	G	L	P6163066	short
4	6.16	1.803	E. cyaneus	G	L	P6163066	short
5	58.034	1.95	E. cyaneus	G	L	P6163066	short
6	53.171	1.999	E. cyaneus	G	L	P6163066	short
7	55.619	2.391	E. cyaneus	G	L	P6163066	short
8	48.308	2.978	E. cyaneus	G	L	P6163066	short
9	56.924	3.353	E. cyaneus	G	L	P6163066	short
10	51.735	3.81	E. cyaneus	G	L	P6163066	short
11	55.798	3.875	E. cyaneus	G	L	P6163066	short
12	55.863	4.528	E. cyaneus	G	L	P6163066	short
13	56.5	5.475	E. cyaneus	G	L	P6163066	short
14	56.337	5.915	E. cyaneus	G	L	P6163066	short
15	49.761	6.225	E. cyaneus	G	L	P6163066	short
16	55.178	6.29	E. cyaneus	G	L	P6163066	short
17	56.777	6.617	E. cyaneus	G	L	P6163066	short
18	52.061	7.465	E. cyaneus	G	L	P6163066	short
19	42.875	7.775	E. cyaneus	G	L	P6163066	short
20	14.286	7.955	E. cyaneus	G	L	P6163066	short
1	54.52	1.181	E. cyaneus	Y	L	P6163067	short
2	47.239	1.246	E. cyaneus	Y	L	P6163067	short
3	47.386	1.832	E. cyaneus	Y	L	P6163067	short
4	50.985	2.174	E. cyaneus	Y	L	P6163067	short
5	55.301	2.207	E. cyaneus	Y	L	P6163067	short
6	57.956	2.712	E. cyaneus	Y	L	P6163067	short
7	55.643	3.331	E. cyaneus	Y	L	P6163067	short
8	45.35	3.575	E. cyaneus	Y	L	P6163067	short
9	7.858	3.689	E. cyaneus	Y	L	P6163067	short
10	57.272	3.705	E. cyaneus	Y	L	P6163067	short
11	51.36	3.738	E. cyaneus	Y	L	P6163067	short
12	51.49	4.064	E. cyaneus	Y	L	P6163067	short
13	55.822	4.178	E. cyaneus	Y	L	P6163067	short
14	45.562	4.406	E. cyaneus	Y	L	P6163067	short
17	53.249	5.171	E. cyaneus	Y	L	P6163067	short
18	54.536	5.187	E. cyaneus	Y	L	P6163067	short
19	54.015	6.213	E. cyaneus	Y	L	P6163067	short
20	43.982	6.474	E. cyaneus	Y	L	P6163067	short
21	38.086	6.946	E. cyaneus	Y	L	P6163067	short
22	5.676	8.217	E. cyaneus	Y	L	P6163067	short
1	50.274	0.53	E. cyaneus	B	L	P6163068	short
2	45.758	0.628	E. cyaneus	B	L	P6163068	short
3	53.389	0.66	E. cyaneus	B	L	P6163068	short
4	50.062	0.84	E. cyaneus	B	L	P6163068	short
5	54.791	2.454	E. cyaneus	B	L	P6163068	short
6	53.242	2.584	E. cyaneus	B	L	P6163068	short
7	56.03	2.78	E. cyaneus	B	L	P6163068	short
8	35.633	2.976	E. cyaneus	B	L	P6163068	short
9	53.389	3.122	E. cyaneus	B	L	P6163068	short
10	52.166	3.285	E. cyaneus	B	L	P6163068	short
11	54.106	3.334	E. cyaneus	B	L	P6163068	short
12	57.253	3.611	E. cyaneus	B	L	P6163068	short
13	54.008	4.133	E. cyaneus	B	L	P6163068	short
14	54.155	4.573	E. cyaneus	B	L	P6163068	short
15	54.693	4.736	E. cyaneus	B	L	P6163068	short
16	53.633	5.095	E. cyaneus	B	L	P6163068	short
17	55.41	5.274	E. cyaneus	B	L	P6163068	short
18	5.519	5.649	E. cyaneus	B	L	P6163068	short
19	46.753	7.361	E. cyaneus	B	L	P6163068	short
20	54.905	7.508	E. cyaneus	B	L	P6163068	short
1	49.688	0.367	E. cyaneus	R	L	P6163069	short
2	48.938	0.399	E. cyaneus	R	L	P6163069	short
3	54.97	1.41	E. cyaneus	R	L	P6163069	short
4	27.139	1.459	E. cyaneus	R	L	P6163069	short
5	24.986	2.193	E. cyaneus	R	L	P6163069	short
6	55.492	2.519	E. cyaneus	R	L	P6163069	short
7	56.845	2.568	E. cyaneus	R	L	P6163069	short
8	8.812	2.91	E. cyaneus	R	L	P6163069	short
9	53.356	3.302	E. cyaneus	R	L	P6163069	short
10	53.976	3.66	E. cyaneus	R	L	P6163069	short
11	13.736	3.758	E. cyaneus	R	L	P6163069	short
12	57.253	3.823	E. cyaneus	R	L	P6163069	short
13	52.182	4.28	E. cyaneus	R	L	P6163069	short
14	30.595	4.834	E. cyaneus	R	L	P6163069	short
15	52.052	5.927	E. cyaneus	R	L	P6163069	short
16	37.997	6.139	E. cyaneus	R	L	P6163069	short
17	55.019	6.318	E. cyaneus	R	L	P6163069	short
18	52.867	6.334	E. cyaneus	R	L	P6163069	short
19	28.476	6.986	E. cyaneus	R	L	P6163069	short
20	52.72	8.226	E. cyaneus	R	L	P6163069	short
1	25.681	0.919	E. cyaneus	R	R	P6163070	short
2	17.156	1.342	E. cyaneus	R	R	P6163070	short
3	6.874	1.456	E. cyaneus	R	R	P6163070	short
4	5.898	1.537	E. cyaneus	R	R	P6163070	short
5	7.752	1.781	E. cyaneus	R	R	P6163070	short
6	5.377	1.879	E. cyaneus	R	R	P6163070	short
7	6.809	2.823	E. cyaneus	R	R	P6163070	short
8	56.657	3.799	E. cyaneus	R	R	P6163070	short
9	7.72	4.075	E. cyaneus	R	R	P6163070	short
10	17.546	4.336	E. cyaneus	R	R	P6163070	short
11	10.632	4.629	E. cyaneus	R	R	P6163070	short
12	6.06	4.742	E. cyaneus	R	R	P6163070	short
13	6.255	5.068	E. cyaneus	R	R	P6163070	short
14	10.42	5.279	E. cyaneus	R	R	P6163070	short
15	7.297	5.475	E. cyaneus	R	R	P6163070	short
16	20.735	5.67	E. cyaneus	R	R	P6163070	short
17	6.255	6.076	E. cyaneus	R	R	P6163070	short
18	3.392	6.857	E. cyaneus	R	R	P6163070	short
19	51.125	6.922	E. cyaneus	R	R	P6163070	short
20	8.11	8.419	E. cyaneus	R	R	P6163070	short
1	30.515	0.564	E. cyaneus	Y	R	P6163071	short
2	5.619	0.695	E. cyaneus	Y	R	P6163071	short
3	7.991	1.055	E. cyaneus	Y	R	P6163071	short
4	9.201	2.004	E. cyaneus	Y	R	P6163071	short
5	7.844	2.969	E. cyaneus	Y	R	P6163071	short
6	6.977	3.018	E. cyaneus	Y	R	P6163071	short
7	56.769	3.443	E. cyaneus	Y	R	P6163071	short
8	10.919	3.509	E. cyaneus	Y	R	P6163071	short
9	26.344	3.558	E. cyaneus	Y	R	P6163071	short
10	6.846	3.738	E. cyaneus	Y	R	P6163071	short
11	6.388	4.228	E. cyaneus	Y	R	P6163071	short
12	5.504	4.572	E. cyaneus	Y	R	P6163071	short
13	5.521	5.014	E. cyaneus	Y	R	P6163071	short
14	6.24	5.472	E. cyaneus	Y	R	P6163071	short
15	4.392	5.619	E. cyaneus	Y	R	P6163071	short
16	54.806	5.864	E. cyaneus	Y	R	P6163071	short
17	5.144	6.486	E. cyaneus	Y	R	P6163071	short
18	43.781	6.551	E. cyaneus	Y	R	P6163071	short
19	8.563	7.647	E. cyaneus	Y	R	P6163071	short
20	5.308	7.729	E. cyaneus	Y	R	P6163071	short
1	8.47	0.367	E. cyaneus	G	R	P6163072	short
2	10.361	0.514	E. cyaneus	G	R	P6163072	short
3	5.764	0.644	E. cyaneus	G	R	P6163072	short
4	7.932	2.046	E. cyaneus	G	R	P6163072	short
5	6.872	2.095	E. cyaneus	G	R	P6163072	short
6	52.867	4.101	E. cyaneus	G	R	P6163072	short
7	21.856	4.378	E. cyaneus	G	R	P6163072	short
8	38.764	4.378	E. cyaneus	G	R	P6163072	short
9	25.345	4.541	E. cyaneus	G	R	P6163072	short
10	5.601	4.639	E. cyaneus	G	R	P6163072	short
11	3.921	4.785	E. cyaneus	G	R	P6163072	short
12	6.171	4.818	E. cyaneus	G	R	P6163072	short
13	5.829	5.046	E. cyaneus	G	R	P6163072	short
14	21.742	5.34	E. cyaneus	G	R	P6163072	short
15	6.318	5.633	E. cyaneus	G	R	P6163072	short
16	4.899	6.595	E. cyaneus	G	R	P6163072	short
17	9.611	6.774	E. cyaneus	G	R	P6163072	short
18	2.976	6.872	E. cyaneus	G	R	P6163072	short
19	41.128	7.035	E. cyaneus	G	R	P6163072	short
20	43.834	7.264	E. cyaneus	G	R	P6163072	short
1	13.151	0.497	E. cyaneus	B	R	P6163073	short
2	19.145	0.741	E. cyaneus	B	R	P6163073	short
3	2.907	0.757	E. cyaneus	B	R	P6163073	short
4	4.373	2.239	E. cyaneus	B	R	P6163073	short
5	3.917	2.712	E. cyaneus	B	R	P6163073	short
6	28.803	2.809	E. cyaneus	B	R	P6163073	short
7	10.513	3.591	E. cyaneus	B	R	P6163073	short
8	6.116	4.112	E. cyaneus	B	R	P6163073	short
9	6.914	4.471	E. cyaneus	B	R	P6163073	short
10	5.676	4.601	E. cyaneus	B	R	P6163073	short
11	6.311	6.164	E. cyaneus	B	R	P6163073	short
12	6.653	6.164	E. cyaneus	B	R	P6163073	short
13	7.337	6.458	E. cyaneus	B	R	P6163073	short
14	3.005	6.49	E. cyaneus	B	R	P6163073	short
15	3.607	6.49	E. cyaneus	B	R	P6163073	short
16	6.979	6.621	E. cyaneus	B	R	P6163073	short
17	18.477	7.272	E. cyaneus	B	R	P6163073	short
18	4.764	7.809	E. cyaneus	B	R	P6163073	short
19	56.132	7.875	E. cyaneus	B	R	P6163073	short
20	12.533	8.314	E. cyaneus	B	R	P6163073	short
1	18.721	1.148	E. cyaneus	K	K	P6163074	short
2	55.269	1.507	E. cyaneus	K	K	P6163074	short
3	24.715	1.572	E. cyaneus	K	K	P6163074	short
4	56.23	2.239	E. cyaneus	K	K	P6163074	short
5	52.109	2.695	E. cyaneus	K	K	P6163074	short
6	47.533	2.907	E. cyaneus	K	K	P6163074	short
7	42.809	2.972	E. cyaneus	K	K	P6163074	short
8	56.523	3.347	E. cyaneus	K	K	P6163074	short
9	7.256	3.493	E. cyaneus	K	K	P6163074	short
10	6.897	3.933	E. cyaneus	K	K	P6163074	short
11	7.305	4.259	E. cyaneus	K	K	P6163074	short
12	4.829	4.992	E. cyaneus	K	K	P6163074	short
13	20.79	5.09	E. cyaneus	K	K	P6163074	short
14	6.458	5.252	E. cyaneus	K	K	P6163074	short
15	28.363	5.741	E. cyaneus	K	K	P6163074	short
16	12.158	6.539	E. cyaneus	K	K	P6163074	short
17	7.419	6.572	E. cyaneus	K	K	P6163074	short
18	46.718	7.337	E. cyaneus	K	K	P6163074	short
19	30.92	7.679	E. cyaneus	K	K	P6163074	short
20	7.011	8.005	E. cyaneus	K	K	P6163074	short
1	10.378	0.318	E. cyaneus	R	L	P6163075	short
2	48.53	0.53	E. cyaneus	R	L	P6163075	short
3	31.899	0.579	E. cyaneus	R	L	P6163075	short
4	56.438	1.443	E. cyaneus	R	L	P6163075	short
5	51.66	1.802	E. cyaneus	R	L	P6163075	short
6	53.062	2.03	E. cyaneus	R	L	P6163075	short
7	57.481	2.079	E. cyaneus	R	L	P6163075	short
8	40.476	2.226	E. cyaneus	R	L	P6163075	short
9	56.649	3.497	E. cyaneus	R	L	P6163075	short
10	21.008	3.693	E. cyaneus	R	L	P6163075	short
11	14.177	3.889	E. cyaneus	R	L	P6163075	short
12	56.372	4.117	E. cyaneus	R	L	P6163075	short
13	53.78	4.149	E. cyaneus	R	L	P6163075	short
14	4.753	5.584	E. cyaneus	R	L	P6163075	short
15	10.948	5.845	E. cyaneus	R	L	P6163075	short
16	52.932	7.508	E. cyaneus	R	L	P6163075	short
17	13.688	7.606	E. cyaneus	R	L	P6163075	short
18	42.465	7.671	E. cyaneus	R	L	P6163075	short
19	53.421	8.177	E. cyaneus	R	L	P6163075	short
20	18.726	8.258	E. cyaneus	R	L	P6163075	short
1	39.834	0.253	E. cyaneus	Y	L	P6163076	short
2	53.648	0.465	E. cyaneus	Y	L	P6163076	short
3	22.433	0.709	E. cyaneus	Y	L	P6163076	short
4	56.42	0.807	E. cyaneus	Y	L	P6163076	short
5	52.522	0.987	E. cyaneus	Y	L	P6163076	short
6	56.208	1.101	E. cyaneus	Y	L	P6163076	short
